Make,Model,Type,Description
Acer,Aspire 1 A114-32 ,Laptop,"14"" Screen"
Acer,V15 Nitro VN7-592G,Laptop,"15.6"" Screen"
Dell,Inspiron 15 3000,Laptop,"15.6"" Screen"
Dell,Inspiron 15 5520,Laptop,"15.6"" Screen"
Dell,Inspiron 15 7000,Laptop,
Dell,Inspiron 15 3505,Laptop,
Dell,Inspiron 15 7506,Laptop,
Dell,Inspiron 15 7577,Laptop,
Dell,Inspiron 15 7359,Laptop,
Dell,Latitude 5410,Laptop,
Dell,XPS 8300,Desktop,
Dell,XPS DT 8940,Desktop,
Dell,XPS 8930,Desktop,
Dell,Optiplex 3080,Desktop,
Apple,Macbook Air (2020),Laptop,"13"" Screen"
Apple,Macbook Pro(2020),Laptop,"13"" Screen"
Apple,iphone 4S 16GB,Mobile Phone,16GB Version
Apple,iphone 4S 32GB,Mobile Phone,32GB Version
Apple,iphone 4S 64GB,Mobile Phone,64GB Version
Apple,iphone 4S 16GB,Mobile Phone,16GB Version
Apple,iphone 4S 32GB,Mobile Phone,32GB Version
Apple,iphone 4S 64GB,Mobile Phone,64GB Version
Apple,iPad (2020) 32GB Wifi,Tablet,"10.2"" Screen"
Apple,iPad (2020) 32GB Wifi + Cellular,Tablet,"10.2"" Screen"
Apple,iPad Air (2020) 64GB Wifi,Tablet,"10.6"" Screen"
Apple,iPad Air (2020) 64GB Wifi + Cellular,Tablet,"10.6"" Screen"
Samsung,Galaxy S5 16GB,Mobile Phone,
Samsung,Galaxy S5 32GB,Mobile Phone,
Samsung,Galaxy S6 32GB,Mobile Phone,
Samsung,Galaxy S6 64GB,Mobile Phone,
Samsung,Galaxy S6 128GB,Mobile Phone,
Sony,Playstation,Games Console,Original Large Grey
Sony,Playstation One,Games Console,Smaller White Version
Sony,Playstation 2,Games Console,
Sony,Playstation 3,Games Console,
Sony,Playstation 4,Games Console,
Sony,Playstation 5,Games Console,
Sony,PSP-1000,Games Console,Original
Sony,PSP-2000,Games Console,PSP Slim
Sony,PSP-3000,Games Console,PSP Slim + Lite
Sony,PSP Go,Games Console,No UMD Drive
Sony,PSP Street,Games Console,Sliding Screen
Nintendo,Switch,Games Console,
Nintendo,WiiU,Games Console,
Nintendo,Wii,Games Console,
Nintendo,Gamecube,Games Console,
Nintendo,Nintendo 64,Games Console,
Nintendo,SNES,Games Console,
Nintendo,NES,Games Console,
Microsoft,Xbox,Games Console,
Microsoft,Xbox-360 Core,Games Console,
Microsoft,Xbox-360 Arcade,Games Console,
Microsoft,Xbox-360 Elite,Games Console,Black version
Microsoft,Xbox-360 S,Games Console,Matte Black with new disc drive and internal HDD
Microsoft,Xbox-360 E,Games Console,Restyled 2 tone version
Fitbit,Charge 4,Smart device,
Fitbit,Versa 2,Smart device,
